Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.004535,0.033106,0.098029,-840.920105,303.406830,581.751160
2,0,-0.004550,0.032910,0.098002,-840.909851,303.396149,581.751404
3,0,-0.004534,0.033112,0.097982,-840.925720,303.408173,581.749023
4,0,-0.004550,0.033127,0.098020,-840.915649,303.391907,581.765503
5,0,-0.004644,0.033325,0.098098,-840.928101,303.368866,581.769226
6,0,-0.004478,0.033071,0.097988,-840.915649,303.398102,581.753906
7,0,-0.004624,0.033190,0.098057,-840.921143,303.379974,581.764465
8,0,-0.004583,0.033223,0.098059,-840.928772,303.386353,581.752014
9,0,-0.004598,0.033301,0.098082,-840.936523,303.389008,581.751404
10,0,-0.004622,0.033169,0.098015,-840.921997,303.394287,581.756042
11,0,-0.004496,0.033299,0.098071,-840.936340,303.400543,581.759216
12,0,-0.004559,0.033235,0.098059,-840.932678,303.391205,581.753113
13,0,-0.004540,0.033155,0.098016,-840.919250,303.394165,581.756653
14,0,-0.004555,0.032992,0.097994,-840.915649,303.400513,581.747131
15,0,-0.004645,0.033256,0.098135,-840.932861,303.394196,581.750610
16,0,-0.004563,0.033276,0.098068,-840.932190,303.392731,581.763916
17,0,-0.004611,0.033044,0.098016,-840.913635,303.405945,581.743652
18,0,-0.004510,0.033117,0.098081,-840.926819,303.418182,581.732544
19,0,-0.004603,0.033188,0.098082,-840.918945,303.389862,581.759399
20,0,-0.004554,0.033304,0.098108,-840.931335,303.393921,581.755981
21,0,-0.004611,0.033189,0.098024,-840.922729,303.384918,581.755920
22,0,-0.004609,0.033349,0.098114,-840.935730,303.387115,581.767029
23,0,-0.004527,0.033265,0.098048,-840.922363,303.381378,581.773560
24,0,-0.004636,0.033248,0.098084,-840.935791,303.392731,581.753479
25,0,-0.004633,0.033245,0.098094,-840.931152,303.383636,581.758423
26,0,-0.004577,0.033188,0.098019,-840.927673,303.389038,581.758728
27,0,-0.004617,0.033494,0.098176,-840.935730,303.373596,581.779846
28,0,-0.004683,0.033157,0.098088,-840.922485,303.387695,581.757263
29,0,-0.004553,0.033109,0.098010,-840.916443,303.378876,581.762512
30,0,-0.004507,0.033042,0.098031,-840.916199,303.414490,581.736816
31,0,-0.004538,0.033125,0.098075,-840.927856,303.404907,581.741089
32,0,-0.004598,0.033054,0.098018,-840.914978,303.386749,581.758545
33,0,-0.004619,0.033109,0.098060,-840.917542,303.388306,581.752136
34,0,-0.004650,0.033305,0.098080,-840.938538,303.373810,581.766296
35,0,-0.004549,0.033166,0.098057,-840.915649,303.379608,581.768188
36,0,-0.004536,0.033206,0.098047,-840.927429,303.403046,581.742493
37,0,-0.004469,0.033034,0.097976,-840.917725,303.407349,581.746643
38,0,-0.004599,0.033054,0.098042,-840.917419,303.396210,581.746826
39,0,-0.004615,0.033139,0.098039,-840.924377,303.389313,581.758179
40,0,-0.004638,0.033164,0.098075,-840.924561,303.374786,581.774353
41,0,-0.004467,0.033208,0.098019,-840.931641,303.404114,581.752380
