Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.008993,0.009052,0.008849,-837.913757,284.221130,611.382324
2,0,-0.008978,0.008893,0.008765,-837.902466,284.228119,611.380066
3,0,-0.008937,0.008686,0.008801,-837.883911,284.218567,611.368774
4,0,-0.008998,0.008975,0.008849,-837.906189,284.218994,611.387268
5,0,-0.008975,0.008702,0.008779,-837.882751,284.219788,611.373413
6,0,-0.008945,0.008950,0.008820,-837.904968,284.228943,611.385986
7,0,-0.008912,0.008470,0.008743,-837.859985,284.229309,611.364380
8,0,-0.009049,0.008845,0.008814,-837.893555,284.216339,611.386292
9,0,-0.009029,0.008550,0.008722,-837.873779,284.220581,611.373230
10,0,-0.008911,0.008512,0.008723,-837.864990,284.227234,611.362427
11,0,-0.008980,0.008661,0.008683,-837.885681,284.224152,611.368652
12,0,-0.008929,0.008952,0.008866,-837.910950,284.218475,611.372620
13,0,-0.008935,0.008956,0.008831,-837.908447,284.228424,611.377625
14,0,-0.009054,0.008846,0.008805,-837.899780,284.211273,611.372620
15,0,-0.009039,0.008814,0.008798,-837.896057,284.228607,611.372803
16,0,-0.008947,0.008966,0.008828,-837.908997,284.228851,611.377808
17,0,-0.008963,0.008948,0.008795,-837.908875,284.226440,611.374817
18,0,-0.008927,0.008725,0.008758,-837.877808,284.230957,611.366699
19,0,-0.008929,0.008829,0.008839,-837.900818,284.218475,611.367432
20,0,-0.008944,0.008667,0.008746,-837.882507,284.224487,611.373169
21,0,-0.008984,0.008901,0.008812,-837.901611,284.211609,611.377563
22,0,-0.008955,0.008861,0.008789,-837.895203,284.236572,611.378967
23,0,-0.008971,0.008875,0.008741,-837.893005,284.222015,611.379883
24,0,-0.008971,0.008831,0.008796,-837.891907,284.224030,611.380371
25,0,-0.008936,0.008791,0.008795,-837.890564,284.229309,611.373474
26,0,-0.008939,0.008834,0.008682,-837.897217,284.231476,611.380066
27,0,-0.008912,0.008593,0.008762,-837.874084,284.230194,611.363037
28,0,-0.008933,0.008793,0.008772,-837.897278,284.228455,611.378357
29,0,-0.008937,0.008884,0.008713,-837.906677,284.224060,611.367981
30,0,-0.009009,0.008831,0.008734,-837.900513,284.222900,611.377319
31,0,-0.008951,0.008628,0.008781,-837.877747,284.231537,611.371521
32,0,-0.008919,0.008593,0.008775,-837.878845,284.225372,611.368347
33,0,-0.008963,0.008832,0.008774,-837.891113,284.218597,611.381165
34,0,-0.009008,0.008920,0.008876,-837.903992,284.222229,611.381409
35,0,-0.008898,0.008823,0.008689,-837.893372,284.237823,611.379578
36,0,-0.008903,0.008845,0.008734,-837.891357,284.227356,611.380737
37,0,-0.008943,0.008760,0.008757,-837.883667,284.224213,611.378174
38,0,-0.008921,0.008995,0.008803,-837.907104,284.227051,611.380432
39,0,-0.008924,0.008849,0.008843,-837.889587,284.231964,611.377930
40,0,-0.009022,0.008755,0.008815,-837.890320,284.218567,611.381836
41,0,-0.008945,0.008645,0.008799,-837.880615,284.221497,611.358093
42,0,-0.008967,0.008825,0.008770,-837.904785,284.225647,611.370361
43,0,-0.008996,0.009005,0.008827,-837.902527,284.225342,611.385376
44,0,-0.008950,0.008884,0.008763,-837.894775,284.222229,611.374023
45,0,-0.008939,0.008732,0.008821,-837.887817,284.226501,611.375732
46,0,-0.009008,0.008948,0.008851,-837.905090,284.218292,611.384888
47,0,-0.008957,0.008651,0.008726,-837.883789,284.229248,611.367737
48,0,-0.008935,0.008998,0.008798,-837.902832,284.234894,611.378906
49,0,-0.008963,0.008653,0.008705,-837.886658,284.225159,611.369995
50,0,-0.008975,0.009000,0.008754,-837.914307,284.227295,611.376282
51,0,-0.008948,0.008800,0.008745,-837.888245,284.235870,611.377075
52,0,-0.008917,0.008880,0.008790,-837.898499,284.223724,611.371216
53,0,-0.008937,0.009034,0.008790,-837.912903,284.224243,611.379822
54,0,-0.008944,0.008699,0.008777,-837.878296,284.220062,611.373718
55,0,-0.008947,0.008881,0.008787,-837.893555,284.224030,611.376465
56,0,-0.008969,0.008834,0.008822,-837.890930,284.224243,611.373230
57,0,-0.008982,0.008814,0.008843,-837.898499,284.222565,611.374573
58,0,-0.008945,0.008705,0.008792,-837.888855,284.222076,611.371643
59,0,-0.008987,0.008631,0.008788,-837.870239,284.223999,611.368469
60,0,-0.008981,0.008698,0.008706,-837.882202,284.230377,611.366516
61,0,-0.008945,0.008738,0.008738,-837.888611,284.227966,611.375183
62,0,-0.009000,0.008788,0.008791,-837.889587,284.225586,611.380310
63,0,-0.008936,0.008875,0.008750,-837.893433,284.237305,611.376892
64,0,-0.009048,0.008930,0.008816,-837.902344,284.214905,611.390869
65,0,-0.009002,0.008867,0.008805,-837.900818,284.223114,611.374878
66,0,-0.008838,0.008765,0.008740,-837.890625,284.237610,611.372559
67,0,-0.008915,0.008832,0.008759,-837.906921,284.232605,611.367859
68,0,-0.008989,0.008895,0.008825,-837.901672,284.216522,611.365601
69,0,-0.008944,0.008724,0.008756,-837.891113,284.218719,611.376221
70,0,-0.008929,0.008744,0.008728,-837.890686,284.221558,611.372620
71,0,-0.008873,0.008696,0.008710,-837.886597,284.228607,611.372253
72,0,-0.008904,0.008643,0.008681,-837.880371,284.229980,611.372498
73,0,-0.008986,0.008643,0.008682,-837.873474,284.237030,611.382202
74,0,-0.008902,0.008901,0.008824,-837.909912,284.222595,611.370300
75,0,-0.008957,0.008649,0.008721,-837.880859,284.227814,611.372620
76,0,-0.008959,0.008739,0.008770,-837.899414,284.217651,611.376648
77,0,-0.008961,0.008820,0.008786,-837.891663,284.231476,611.377014
78,0,-0.008972,0.008976,0.008785,-837.902283,284.234558,611.387207
79,0,-0.009056,0.008944,0.008876,-837.909302,284.206177,611.373474
80,0,-0.008959,0.008807,0.008688,-837.888855,284.234131,611.371338
81,0,-0.008965,0.008880,0.008794,-837.894043,284.221924,611.373779
82,0,-0.008851,0.008649,0.008734,-837.873047,284.237854,611.366577
83,0,-0.008905,0.008689,0.008750,-837.886353,284.219879,611.371460
84,0,-0.008977,0.009221,0.008869,-837.929321,284.227692,611.384705
85,0,-0.008888,0.008917,0.008739,-837.903076,284.229980,611.380310
86,0,-0.008987,0.008862,0.008848,-837.903992,284.223969,611.371155
87,0,-0.009000,0.008992,0.008798,-837.911926,284.223480,611.377441
88,0,-0.008966,0.008746,0.008732,-837.884521,284.225311,611.370605
89,0,-0.008905,0.008840,0.008779,-837.890381,284.234985,611.378662
90,0,-0.008993,0.008835,0.008782,-837.898560,284.226318,611.374878
91,0,-0.009017,0.008761,0.008805,-837.884460,284.220917,611.382751
92,0,-0.009040,0.008824,0.008786,-837.893188,284.223297,611.377075
93,0,-0.008965,0.008844,0.008724,-837.905640,284.227448,611.375977
94,0,-0.008984,0.008746,0.008813,-837.891418,284.221252,611.370544
95,0,-0.008885,0.008772,0.008712,-837.889282,284.235687,611.374023
96,0,-0.009034,0.008748,0.008756,-837.887817,284.216492,611.374023
97,0,-0.008982,0.008813,0.008726,-837.894409,284.225098,611.372620
98,0,-0.008923,0.008869,0.008740,-837.905579,284.225769,611.376282
99,0,-0.009009,0.008780,0.008740,-837.886719,284.224243,611.379883
100,0,-0.008930,0.008866,0.008772,-837.898926,284.223846,611.379639
101,0,-0.008936,0.008919,0.008865,-837.897156,284.222107,611.373535
102,0,-0.008938,0.008768,0.008766,-837.891235,284.227295,611.378601
103,0,-0.008913,0.008568,0.008772,-837.873657,284.226257,611.367249
104,0,-0.008910,0.008794,0.008725,-837.893982,284.229004,611.373230
105,0,-0.008997,0.008966,0.008843,-837.898804,284.225739,611.384338
106,0,-0.008965,0.008755,0.008780,-837.884521,284.223846,611.369324
107,0,-0.008949,0.008872,0.008772,-837.899536,284.228882,611.377563
108,0,-0.008924,0.008978,0.008796,-837.907043,284.229675,611.378052
109,0,-0.008942,0.008668,0.008747,-837.883545,284.237823,611.373718
110,0,-0.008951,0.009109,0.008875,-837.909973,284.221405,611.382385
111,0,-0.008900,0.008695,0.008736,-837.886841,284.227264,611.375061
112,0,-0.008853,0.009015,0.008787,-837.911438,284.233398,611.377563
113,0,-0.009035,0.008909,0.008815,-837.903015,284.219879,611.372742
114,0,-0.008925,0.008598,0.008698,-837.869019,284.226654,611.372498
115,0,-0.008953,0.008798,0.008716,-837.890564,284.227783,611.379517
116,0,-0.008878,0.008696,0.008735,-837.883850,284.238007,611.370850
117,0,-0.008930,0.008715,0.008767,-837.890381,284.223572,611.375061
118,0,-0.008986,0.008691,0.008717,-837.884705,284.228668,611.373047
119,0,-0.008936,0.008601,0.008701,-837.877197,284.220428,611.368774
120,0,-0.008964,0.008873,0.008751,-837.901855,284.222351,611.376892
121,0,-0.008935,0.008783,0.008698,-837.897949,284.227936,611.372681
122,0,-0.008949,0.008594,0.008768,-837.880859,284.227264,611.365356
123,0,-0.008982,0.008679,0.008806,-837.878906,284.222168,611.369507
124,0,-0.008922,0.008897,0.008789,-837.899536,284.221893,611.372925
125,0,-0.008986,0.008773,0.008765,-837.890930,284.223541,611.374146
126,0,-0.008913,0.008963,0.008777,-837.899231,284.235352,611.380493
127,0,-0.008932,0.008822,0.008659,-837.901062,284.234131,611.374207
128,0,-0.008939,0.008855,0.008798,-837.896362,284.228119,611.372925
129,0,-0.008928,0.008722,0.008734,-837.884949,284.225372,611.369324
130,0,-0.009022,0.008870,0.008856,-837.898376,284.220398,611.375427
131,0,-0.008940,0.008653,0.008722,-837.875366,284.224060,611.374756
132,0,-0.009044,0.008847,0.008825,-837.893677,284.220642,611.378723
133,0,-0.008885,0.008690,0.008790,-837.885376,284.225433,611.372681
134,0,-0.008956,0.008873,0.008734,-837.901855,284.234833,611.369629
135,0,-0.008948,0.008694,0.008772,-837.885010,284.230347,611.379395
136,0,-0.008921,0.008809,0.008824,-837.888367,284.223816,611.373169
137,0,-0.008901,0.008806,0.008791,-837.891663,284.237946,611.378357
138,0,-0.008893,0.008703,0.008726,-837.879211,284.232819,611.378479
139,0,-0.008980,0.008780,0.008899,-837.883423,284.226959,611.366455
140,0,-0.008893,0.008718,0.008737,-837.894043,284.219879,611.365234
141,0,-0.008954,0.008641,0.008736,-837.876038,284.229767,611.372009
142,0,-0.009010,0.009069,0.008793,-837.924133,284.220123,611.375244
143,0,-0.008992,0.008697,0.008821,-837.888916,284.221832,611.368530
144,0,-0.009018,0.008968,0.008774,-837.911560,284.216400,611.381409
145,0,-0.008928,0.008846,0.008804,-837.903564,284.218536,611.369324
146,0,-0.009058,0.008911,0.008821,-837.899536,284.214874,611.376770
147,0,-0.009029,0.009090,0.008810,-837.917358,284.221985,611.380005
148,0,-0.008936,0.008958,0.008809,-837.915344,284.224609,611.378906
149,0,-0.008963,0.008907,0.008816,-837.903198,284.223450,611.378174
150,0,-0.008915,0.008759,0.008695,-837.897644,284.229797,611.372986
151,0,-0.008968,0.008859,0.008800,-837.892700,284.226898,611.375061
152,0,-0.008963,0.008718,0.008790,-837.892700,284.222595,611.375793
153,0,-0.008984,0.008997,0.008833,-837.917480,284.225311,611.376709
154,0,-0.008951,0.008742,0.008703,-837.888794,284.226105,611.382813
155,0,-0.009021,0.009036,0.008753,-837.914795,284.213470,611.370056
156,0,-0.009072,0.008949,0.008821,-837.909607,284.209686,611.381165
157,0,-0.008905,0.008832,0.008752,-837.896423,284.224670,611.373718
158,0,-0.009038,0.008735,0.008768,-837.895752,284.215942,611.375305
159,0,-0.009088,0.008779,0.008804,-837.892456,284.210358,611.374084
160,0,-0.009010,0.008712,0.008730,-837.880981,284.215088,611.372620
161,0,-0.008835,0.008683,0.008820,-837.882813,284.230225,611.374390
162,0,-0.008943,0.008729,0.008800,-837.889343,284.225616,611.364197
163,0,-0.009023,0.008854,0.008820,-837.896301,284.217499,611.380432
164,0,-0.008956,0.008887,0.008711,-837.895386,284.224823,611.374878
165,0,-0.009003,0.008744,0.008682,-837.882568,284.228455,611.388367
166,0,-0.008937,0.008854,0.008811,-837.900269,284.221527,611.373779
167,0,-0.008862,0.008521,0.008749,-837.863953,284.222198,611.369995
168,0,-0.008935,0.008872,0.008779,-837.899414,284.222504,611.370544
169,0,-0.008997,0.008909,0.008763,-837.904358,284.223663,611.376343
170,0,-0.008954,0.008972,0.008786,-837.909119,284.229767,611.384644
171,0,-0.008966,0.008910,0.008862,-837.895569,284.226868,611.379333
172,0,-0.009046,0.008911,0.008842,-837.906006,284.212189,611.377197
173,0,-0.008970,0.008964,0.008833,-837.907166,284.222870,611.390381
174,0,-0.008939,0.008859,0.008875,-837.903320,284.220337,611.373169
175,0,-0.009008,0.008959,0.008745,-837.913086,284.220551,611.382141
176,0,-0.008932,0.008816,0.008773,-837.897278,284.218811,611.367798
177,0,-0.008935,0.008747,0.008715,-837.883911,284.230865,611.373535
178,0,-0.008946,0.008679,0.008750,-837.881165,284.222382,611.373901
179,0,-0.008964,0.008739,0.008795,-837.885803,284.221191,611.378357
180,0,-0.009001,0.008768,0.008755,-837.892639,284.218811,611.371277
181,0,-0.009005,0.008872,0.008827,-837.890869,284.222046,611.377380
182,0,-0.008934,0.008719,0.008741,-837.887817,284.220917,611.367798
183,0,-0.008990,0.008873,0.008799,-837.896301,284.221558,611.379089
184,0,-0.008911,0.008858,0.008790,-837.903320,284.216797,611.370056
185,0,-0.008892,0.008598,0.008735,-837.867310,284.228638,611.368530
186,0,-0.008925,0.008922,0.008755,-837.902283,284.230194,611.377136
187,0,-0.009011,0.008871,0.008793,-837.895874,284.225281,611.381165
188,0,-0.008856,0.008856,0.008726,-837.894348,284.233704,611.374451
189,0,-0.008985,0.008744,0.008868,-837.884827,284.208313,611.378052
190,0,-0.008928,0.008687,0.008727,-837.880371,284.226471,611.378967
191,0,-0.008959,0.008572,0.008806,-837.878967,284.224731,611.367676
192,0,-0.008953,0.008997,0.008805,-837.908447,284.230499,611.377808
193,0,-0.008938,0.008724,0.008806,-837.884460,284.221863,611.380371
194,0,-0.008930,0.008731,0.008774,-837.884399,284.226685,611.372681
195,0,-0.008862,0.008892,0.008811,-837.902649,284.233521,611.367004
196,0,-0.008938,0.008760,0.008776,-837.886719,284.218781,611.367554
197,0,-0.008935,0.008599,0.008761,-837.877014,284.226929,611.374023
198,0,-0.008981,0.008821,0.008776,-837.891846,284.227692,611.375183
199,0,-0.008882,0.008812,0.008820,-837.892273,284.226837,611.370972
200,0,-0.009008,0.008836,0.008808,-837.893799,284.215240,611.377808
201,0,-0.008942,0.008851,0.008789,-837.895264,284.221741,611.375610
202,0,-0.008846,0.008663,0.008725,-837.887329,284.226959,611.366882
203,0,-0.008915,0.008766,0.008761,-837.897583,284.228424,611.363953
204,0,-0.008936,0.008885,0.008804,-837.901733,284.232422,611.385803
205,0,-0.008857,0.008714,0.008814,-837.884766,284.220123,611.372375
206,0,-0.008925,0.008829,0.008707,-837.892639,284.231781,611.370911
207,0,-0.008980,0.008770,0.008771,-837.892029,284.218872,611.369019
208,0,-0.008894,0.009031,0.008751,-837.906433,284.233521,611.383362
209,0,-0.008999,0.008870,0.008753,-837.897827,284.220917,611.373474
210,0,-0.008965,0.008797,0.008722,-837.899048,284.215088,611.369385
211,0,-0.008998,0.008807,0.008740,-837.895264,284.220581,611.380310
212,0,-0.009010,0.008852,0.008829,-837.907837,284.219604,611.373413
213,0,-0.008894,0.008884,0.008830,-837.902649,284.220825,611.379333
214,0,-0.008938,0.008631,0.008751,-837.880554,284.227264,611.373474
215,0,-0.008983,0.008942,0.008878,-837.901917,284.220551,611.370789
216,0,-0.008917,0.008603,0.008761,-837.880127,284.230988,611.372192
217,0,-0.008921,0.008837,0.008721,-837.895142,284.227295,611.372498
218,0,-0.008915,0.008828,0.008741,-837.899414,284.217865,611.374573
219,0,-0.008919,0.008911,0.008810,-837.892700,284.224152,611.373413
220,0,-0.008955,0.008780,0.008803,-837.890686,284.222046,611.375366
221,0,-0.008942,0.008739,0.008698,-837.888794,284.228729,611.362427
222,0,-0.008905,0.008739,0.008809,-837.884644,284.222046,611.375183
223,0,-0.008927,0.008700,0.008759,-837.885742,284.223602,611.371643
224,0,-0.009005,0.008691,0.008764,-837.879456,284.219116,611.375183
225,0,-0.008994,0.008730,0.008820,-837.886414,284.215729,611.380005
226,0,-0.008932,0.008631,0.008688,-837.881409,284.225800,611.372131
227,0,-0.008949,0.008771,0.008748,-837.895569,284.217377,611.373352
228,0,-0.008968,0.008844,0.008793,-837.896118,284.221985,611.372864
229,0,-0.008968,0.008912,0.008732,-837.903748,284.224945,611.374512
230,0,-0.008943,0.008898,0.008836,-837.906189,284.227356,611.377686
231,0,-0.008965,0.008812,0.008749,-837.900146,284.218658,611.379517
232,0,-0.009121,0.008693,0.008806,-837.877075,284.204773,611.378662
