Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.009919,0.000322,0.009075,-835.933350,285.229004,611.819336
2,0,-0.009975,0.000114,0.009030,-835.922546,285.224152,611.799500
3,0,-0.010056,0.000235,0.009068,-835.927124,285.220978,611.807068
4,0,-0.009952,0.000171,0.009028,-835.919617,285.221069,611.814026
5,0,-0.009871,0.000166,0.009051,-835.926575,285.229279,611.796265
6,0,-0.009877,0.000204,0.009010,-835.929565,285.230957,611.808960
7,0,-0.009879,0.000281,0.009056,-835.937866,285.233032,611.805847
8,0,-0.010001,0.000284,0.009045,-835.939148,285.216125,611.806519
9,0,-0.009951,0.000171,0.009010,-835.928589,285.216858,611.795593
10,0,-0.009874,-0.000011,0.009033,-835.916809,285.233490,611.801575
11,0,-0.009943,0.000058,0.009110,-835.912781,285.223267,611.801270
12,0,-0.009960,0.000244,0.009061,-835.921326,285.234924,611.810974
13,0,-0.010073,0.000188,0.009025,-835.925598,285.208893,611.804932
14,0,-0.010004,0.000120,0.008973,-835.918640,285.221863,611.804810
15,0,-0.009889,0.000182,0.009014,-835.928772,285.221191,611.803101
16,0,-0.010007,0.000399,0.009176,-835.946777,285.212860,611.812073
17,0,-0.009974,0.000369,0.009094,-835.933044,285.229706,611.807800
18,0,-0.009957,0.000200,0.008977,-835.929016,285.226715,611.804321
19,0,-0.009919,0.000133,0.009024,-835.927979,285.232635,611.804382
20,0,-0.009917,0.000186,0.009084,-835.927185,285.226807,611.797058
21,0,-0.009918,0.000229,0.009055,-835.928894,285.222870,611.805664
22,0,-0.009970,0.000134,0.009032,-835.917114,285.220215,611.808105
23,0,-0.009857,0.000324,0.009067,-835.932434,285.235779,611.806030
24,0,-0.009904,-0.000006,0.009094,-835.903748,285.223877,611.802307
25,0,-0.009954,0.000126,0.009030,-835.923889,285.229218,611.807129
26,0,-0.010000,0.000147,0.009058,-835.923889,285.223450,611.798889
27,0,-0.009914,0.000130,0.009055,-835.917847,285.227814,611.806213
28,0,-0.009999,0.000240,0.008982,-835.933716,285.225891,611.811951
29,0,-0.009889,0.000112,0.009009,-835.926331,285.230682,611.798401
30,0,-0.009973,0.000540,0.009077,-835.954529,285.224030,611.809814
31,0,-0.009976,0.000196,0.008955,-835.944580,285.223938,611.804504
32,0,-0.009975,0.000221,0.009073,-835.921021,285.211090,611.813171
33,0,-0.010058,0.000279,0.009024,-835.932251,285.218933,611.814209
34,0,-0.009922,0.000363,0.009078,-835.942017,285.223541,611.814697
35,0,-0.009946,0.000175,0.009073,-835.932129,285.225189,611.804626
36,0,-0.009989,0.000162,0.009078,-835.926575,285.221863,611.806763
37,0,-0.009867,0.000110,0.009027,-835.919617,285.230896,611.809692
38,0,-0.009888,-0.000023,0.008961,-835.914063,285.231232,611.802429
39,0,-0.009882,0.000302,0.009052,-835.933838,285.233459,611.817993
40,0,-0.009933,0.000364,0.009062,-835.937805,285.231384,611.814087
41,0,-0.009901,0.000246,0.009029,-835.934998,285.225769,611.801331
42,0,-0.009985,0.000322,0.009027,-835.935364,285.226990,611.806519
43,0,-0.009927,0.000199,0.009105,-835.922913,285.220764,611.805054
44,0,-0.009849,0.000134,0.008970,-835.916443,285.242767,611.807922
45,0,-0.009910,0.000282,0.009004,-835.931763,285.229797,611.807495
46,0,-0.009970,0.000135,0.009068,-835.925903,285.227081,611.804382
47,0,-0.009887,0.000074,0.009033,-835.917786,285.223022,611.795593
48,0,-0.010001,0.000213,0.009053,-835.936096,285.214508,611.806885
49,0,-0.009857,0.000400,0.009046,-835.949036,285.239594,611.809448
50,0,-0.009950,0.000139,0.009024,-835.924011,285.227234,611.806763
51,0,-0.009906,0.000281,0.009072,-835.934509,285.235687,611.804016
52,0,-0.009892,0.000129,0.009050,-835.927063,285.231262,611.799133
53,0,-0.009844,0.000020,0.008995,-835.921326,285.237091,611.805298
54,0,-0.009997,0.000108,0.008997,-835.923828,285.225952,611.810364
55,0,-0.009916,0.000135,0.009069,-835.925293,285.227966,611.797180
56,0,-0.009971,0.000155,0.009060,-835.930786,285.228088,611.803162
57,0,-0.009970,0.000160,0.009146,-835.923828,285.226379,611.806519
58,0,-0.009888,0.000202,0.009063,-835.929077,285.233459,611.804199
59,0,-0.009914,0.000229,0.009048,-835.941711,285.221588,611.808411
60,0,-0.009874,0.000128,0.009055,-835.926697,285.236023,611.803040
61,0,-0.010010,0.000063,0.009072,-835.915100,285.228394,611.803162
62,0,-0.009964,0.000197,0.009082,-835.927063,285.222168,611.808899
63,0,-0.009891,0.000254,0.009069,-835.935608,285.233032,611.806335
64,0,-0.010025,0.000160,0.009025,-835.925537,285.222595,611.802002
65,0,-0.009958,-0.000049,0.008974,-835.905579,285.225739,611.803406
66,0,-0.009963,0.000193,0.008953,-835.932068,285.228241,611.817017
67,0,-0.009954,0.000156,0.009054,-835.918030,285.230621,611.807495
68,0,-0.009968,-0.000034,0.008985,-835.912537,285.224701,611.796753
69,0,-0.009989,0.000260,0.009091,-835.930969,285.227692,611.809021
70,0,-0.010006,0.000198,0.009049,-835.934082,285.211884,611.808533
71,0,-0.009921,0.000327,0.009054,-835.935669,285.228333,611.815125
72,0,-0.009879,0.000059,0.008968,-835.915771,285.235626,611.795288
73,0,-0.009912,0.000182,0.008969,-835.933960,285.232178,611.805420
74,0,-0.009933,0.000223,0.009071,-835.929138,285.229309,611.811584
75,0,-0.010013,0.000271,0.009015,-835.942322,285.221619,611.814148
76,0,-0.009896,-0.000051,0.008889,-835.904541,285.244415,611.805603
77,0,-0.009905,0.000188,0.008984,-835.929077,285.232880,611.807922
78,0,-0.009916,0.000273,0.009079,-835.939880,285.223541,611.811096
79,0,-0.009935,0.000216,0.008979,-835.939087,285.226410,611.806885
80,0,-0.009895,-0.000048,0.008974,-835.903748,285.225922,611.808228
81,0,-0.009999,0.000353,0.009054,-835.943665,285.219269,611.818298
82,0,-0.009943,0.000122,0.009001,-835.919861,285.233337,611.809875
83,0,-0.009912,0.000204,0.009089,-835.930237,285.222229,611.809753
84,0,-0.009966,0.000212,0.008975,-835.925659,285.221497,611.809631
85,0,-0.009985,0.000357,0.008958,-835.940063,285.221863,611.816162
86,0,-0.009960,0.000178,0.009121,-835.924011,285.215576,611.803284
87,0,-0.009920,0.000186,0.008979,-835.920227,285.239075,611.806763
88,0,-0.010005,0.000249,0.008983,-835.933716,285.219971,611.812378
89,0,-0.009917,0.000153,0.008999,-835.921082,285.232727,611.808167
90,0,-0.009998,0.000276,0.009068,-835.932190,285.216583,611.811707
91,0,-0.009945,0.000173,0.009057,-835.927490,285.225830,611.804871
92,0,-0.009915,0.000373,0.009064,-835.939758,285.238434,611.817322
93,0,-0.009951,0.000128,0.008983,-835.926758,285.225616,611.803833
