Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.018366,0.041878,0.078568,-845.899963,283.963257,615.065918
2,0,-0.018336,0.041750,0.078497,-845.894287,283.972687,615.070129
3,0,-0.018298,0.041688,0.078450,-845.889954,283.969452,615.057068
4,0,-0.018298,0.041813,0.078514,-845.900696,283.975098,615.072021
5,0,-0.018409,0.041865,0.078458,-845.907532,283.958710,615.067932
6,0,-0.018379,0.041712,0.078469,-845.896912,283.970490,615.064575
7,0,-0.018342,0.041780,0.078595,-845.893494,283.960480,615.065247
8,0,-0.018336,0.041826,0.078556,-845.901367,283.966309,615.067322
9,0,-0.018317,0.041593,0.078437,-845.881592,283.973175,615.062683
10,0,-0.018278,0.041806,0.078525,-845.900085,283.974060,615.063171
11,0,-0.018361,0.041632,0.078462,-845.890320,283.964905,615.062927
12,0,-0.018281,0.041798,0.078505,-845.896423,283.973907,615.060974
13,0,-0.018352,0.041783,0.078543,-845.894287,283.968201,615.070679
14,0,-0.018471,0.041781,0.078478,-845.903564,283.954071,615.073059
15,0,-0.018254,0.041768,0.078501,-845.891418,283.981232,615.069092
16,0,-0.018302,0.041630,0.078484,-845.894409,283.968781,615.059937
17,0,-0.018371,0.041941,0.078576,-845.915283,283.964661,615.069092
18,0,-0.018315,0.041450,0.078432,-845.869751,283.970825,615.063293
19,0,-0.018304,0.041655,0.078513,-845.892029,283.975403,615.065186
20,0,-0.018332,0.041786,0.078416,-845.909119,283.966766,615.071472
21,0,-0.018254,0.041817,0.078469,-845.905334,283.978271,615.059204
22,0,-0.018363,0.041761,0.078525,-845.897095,283.962097,615.070251
23,0,-0.018348,0.041749,0.078456,-845.906921,283.958740,615.071167
24,0,-0.018327,0.041696,0.078457,-845.892700,283.968384,615.068420
25,0,-0.018326,0.041741,0.078421,-845.897583,283.971497,615.076660
26,0,-0.018185,0.041645,0.078405,-845.897522,283.982758,615.060547
27,0,-0.018290,0.041725,0.078519,-845.893616,283.965851,615.066223
28,0,-0.018287,0.041765,0.078563,-845.900513,283.965668,615.067871
29,0,-0.018290,0.041597,0.078492,-845.886047,283.981201,615.059082
30,0,-0.018309,0.041616,0.078527,-845.888855,283.962646,615.052063
31,0,-0.018262,0.041645,0.078480,-845.888672,283.976990,615.063171
32,0,-0.018427,0.041782,0.078504,-845.906250,283.962189,615.073975
33,0,-0.018300,0.041604,0.078505,-845.885437,283.973206,615.054321
34,0,-0.018324,0.041693,0.078481,-845.889526,283.979279,615.064331
35,0,-0.018329,0.041915,0.078509,-845.913330,283.972900,615.070679
36,0,-0.018317,0.041776,0.078487,-845.904236,283.972809,615.067932
37,0,-0.018308,0.041787,0.078469,-845.906738,283.961914,615.067932
38,0,-0.018329,0.041691,0.078553,-845.892456,283.969604,615.069458
39,0,-0.018371,0.041648,0.078439,-845.895142,283.966034,615.073608
40,0,-0.018334,0.041579,0.078470,-845.889587,283.968079,615.060364
41,0,-0.018282,0.041835,0.078393,-845.905090,283.974854,615.069580
42,0,-0.018361,0.041710,0.078466,-845.895447,283.961517,615.065247
43,0,-0.018306,0.041809,0.078486,-845.907227,283.978455,615.067505
44,0,-0.018315,0.041565,0.078407,-845.887024,283.969971,615.061951
45,0,-0.018282,0.041577,0.078479,-845.879700,283.972046,615.072144
46,0,-0.018299,0.041857,0.078519,-845.908936,283.964630,615.069641
47,0,-0.018326,0.041686,0.078458,-845.892822,283.972198,615.071106
48,0,-0.018387,0.041866,0.078553,-845.902832,283.960754,615.060974
49,0,-0.018262,0.041756,0.078480,-845.906921,283.975494,615.069702
50,0,-0.018266,0.041685,0.078497,-845.889587,283.973358,615.059082
51,0,-0.018366,0.041751,0.078456,-845.902954,283.964172,615.066345
52,0,-0.018299,0.041634,0.078530,-845.888916,283.974426,615.067932
53,0,-0.018262,0.041658,0.078432,-845.890564,283.980988,615.066956
54,0,-0.018264,0.041707,0.078522,-845.895752,283.968964,615.073120
55,0,-0.018284,0.041690,0.078505,-845.902771,283.971191,615.066467
56,0,-0.018368,0.041703,0.078453,-845.902649,283.973389,615.072632
57,0,-0.018291,0.041668,0.078411,-845.896667,283.975525,615.064270
58,0,-0.018346,0.041698,0.078442,-845.887329,283.975708,615.065491
59,0,-0.018333,0.041808,0.078518,-845.906128,283.964539,615.070679
60,0,-0.018318,0.041775,0.078502,-845.900696,283.969910,615.063477
61,0,-0.018321,0.041860,0.078473,-845.902283,283.972290,615.062805
62,0,-0.018318,0.041667,0.078439,-845.896912,283.966400,615.063843
63,0,-0.018362,0.041707,0.078443,-845.896729,283.964172,615.072510
64,0,-0.018307,0.041677,0.078500,-845.892578,283.974731,615.064392
65,0,-0.018255,0.041798,0.078506,-845.906494,283.974915,615.074646
66,0,-0.018300,0.041850,0.078508,-845.907104,283.974274,615.071228
