Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.000926,-0.044610,0.107617,-841.900208,301.454987,584.547607
2,0,-0.000988,-0.044647,0.107599,-841.894714,301.436279,584.562927
3,0,-0.000921,-0.044571,0.107629,-841.904846,301.448517,584.559143
4,0,-0.000890,-0.044728,0.107554,-841.892090,301.450409,584.552734
5,0,-0.000979,-0.044445,0.107596,-841.914246,301.430084,584.565063
6,0,-0.000866,-0.044493,0.107628,-841.915771,301.449860,584.552368
7,0,-0.001032,-0.044415,0.107658,-841.915039,301.427643,584.565613
8,0,-0.000820,-0.044751,0.107553,-841.896729,301.461151,584.548584
9,0,-0.000941,-0.044749,0.107541,-841.891418,301.452148,584.551392
10,0,-0.000910,-0.044748,0.107618,-841.890381,301.447784,584.554749
11,0,-0.000960,-0.044456,0.107606,-841.918396,301.438477,584.560120
12,0,-0.000892,-0.044651,0.107525,-841.895142,301.431885,584.574280
13,0,-0.000885,-0.044555,0.107637,-841.902161,301.432526,584.574280
14,0,-0.000845,-0.044637,0.107559,-841.895813,301.456299,584.557373
15,0,-0.000896,-0.044570,0.107568,-841.906189,301.438751,584.562927
16,0,0.042026,-0.010082,0.116523,-841.818359,288.642670,617.908081
17,0,0.042156,-0.010010,0.116628,-841.820129,288.652588,617.915405
18,0,0.042182,-0.010232,0.116468,-841.798706,288.660339,617.903381
19,0,0.042198,-0.009917,0.116550,-841.832825,288.652649,617.909119
20,0,0.042176,-0.010067,0.116627,-841.822632,288.650787,617.907837
21,0,0.042071,-0.010039,0.116451,-841.809387,288.654144,617.901367
22,0,0.042213,-0.010191,0.116554,-841.803467,288.659027,617.909485
23,0,0.042497,-0.009941,0.116697,-841.826355,288.671967,617.914917
24,0,0.042257,-0.009914,0.116547,-841.835571,288.658173,617.917236
25,0,0.042042,-0.010132,0.116464,-841.804016,288.650116,617.898865
26,0,0.042177,-0.010083,0.116443,-841.813416,288.656250,617.903564
27,0,0.042156,-0.010020,0.116476,-841.823730,288.655212,617.907104
