Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-1.003560,-0.203789,1.898028,-3301.662842,4019.010986,134.718948
2,,,,,,,
3,,,,,,,
4,0,0.042785,-0.012845,0.114149,-841.843933,288.467133,617.964355
5,0,0.042744,-0.013036,0.114060,-841.832703,288.463989,617.951172
6,0,0.042772,-0.013063,0.114171,-841.834839,288.469269,617.963257
7,0,0.042616,-0.013049,0.114199,-841.842529,288.454620,617.951721
8,0,0.042860,-0.012905,0.114190,-841.850830,288.470001,617.967529
9,0,0.042781,-0.012829,0.114050,-841.845947,288.471222,617.957153
10,0,0.042631,-0.013045,0.114149,-841.827209,288.458740,617.949280
11,0,0.042666,-0.012989,0.114044,-841.815857,288.469299,617.959167
12,0,0.042846,-0.012887,0.114226,-841.841370,288.471130,617.966553
13,0,0.042635,-0.012861,0.114098,-841.849243,288.468903,617.953979
14,0,0.042875,-0.012800,0.114019,-841.843201,288.481415,617.969421
15,0,0.042727,-0.013016,0.114262,-841.836365,288.466064,617.959717
16,0,0.042728,-0.012842,0.114244,-841.848999,288.463379,617.953674
17,0,0.042548,-0.013172,0.114136,-841.825500,288.450989,617.950073
18,0,0.042977,-0.012871,0.114217,-841.844116,288.488678,617.967102
19,0,0.042656,-0.013110,0.114064,-841.826721,288.470581,617.956482
20,0,0.042799,-0.012966,0.114050,-841.840332,288.477142,617.959717
21,0,0.042936,-0.013026,0.114104,-841.828430,288.472412,617.957397
22,0,0.042864,-0.012949,0.114037,-841.827393,288.479126,617.962769
23,0,0.042788,-0.012876,0.114130,-841.835999,288.471008,617.968506
24,0,0.042529,-0.013156,0.114076,-841.816650,288.468506,617.945557
25,0,0.042557,-0.013106,0.114202,-841.829834,288.457916,617.955200
26,0,0.042832,-0.012881,0.114240,-841.840149,288.472229,617.965027
27,0,0.042569,-0.013012,0.114192,-841.835083,288.455597,617.950195
28,0,0.042781,-0.012951,0.114136,-841.836792,288.470642,617.955322
29,0,0.042627,-0.013006,0.114053,-841.827881,288.456207,617.947754
30,0,0.042796,-0.013008,0.114160,-841.831482,288.467194,617.959900
31,0,0.042525,-0.013096,0.114081,-841.821533,288.458771,617.946045
32,0,0.042582,-0.012997,0.114226,-841.830566,288.454956,617.953552
33,0,0.042692,-0.013104,0.114163,-841.826477,288.462097,617.949280
