Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.000029,0.000418,0.055582,-838.704773,285.835480,615.832153
2,0,-0.000060,0.000587,0.055624,-838.713257,285.825867,615.842896
3,0,0.000061,0.000444,0.055549,-838.699829,285.838440,615.840820
4,0,0.000033,0.000478,0.055506,-838.708923,285.837860,615.834900
5,0,0.000002,0.000512,0.055536,-838.706299,285.835907,615.847473
6,0,0.000022,0.000565,0.055578,-838.707764,285.840698,615.840576
7,0,-0.000051,0.000534,0.055562,-838.706421,285.826630,615.835022
8,0,0.000069,0.000489,0.055505,-838.705811,285.844513,615.849976
9,0,0.000031,0.000509,0.055529,-838.703125,285.839386,615.833801
10,0,0.000039,0.000405,0.055552,-838.698547,285.837463,615.835999
11,0,-0.000046,0.000525,0.055567,-838.708862,285.829498,615.839050
12,0,0.000049,0.000426,0.055552,-838.695862,285.849884,615.844910
13,0,0.000071,0.000601,0.055564,-838.706360,285.841064,615.838806
14,0,0.000037,0.000442,0.055559,-838.694458,285.844788,615.831482
15,0,-0.000031,0.000408,0.055559,-838.694580,285.838654,615.833435
16,0,-0.000144,0.000470,0.055589,-838.704651,285.826141,615.846802
17,0,0.000023,0.000486,0.055552,-838.697510,285.839264,615.834229
18,0,-0.000031,0.000603,0.055614,-838.708252,285.829529,615.840149
19,0,0.000058,0.000500,0.055531,-838.701965,285.843140,615.845581
20,0,-0.000021,0.000551,0.055470,-838.710938,285.842041,615.834229
21,0,0.000000,0.000526,0.055597,-838.703308,285.837646,615.839172
22,0,0.000050,0.000520,0.055516,-838.707581,285.840118,615.832825
23,0,0.000037,0.000573,0.055574,-838.702881,285.840668,615.844238
24,0,0.000138,0.000552,0.055555,-838.705322,285.845123,615.835754
25,0,0.000042,0.000512,0.055565,-838.705627,285.833588,615.842896
26,0,0.000019,0.000645,0.055571,-838.717346,285.841949,615.845886
27,0,0.000026,0.000477,0.055563,-838.699585,285.841522,615.840881
28,0,0.000001,0.000563,0.055551,-838.712158,285.841461,615.845886
29,0,0.000003,0.000521,0.055542,-838.706116,285.834473,615.839478
30,0,0.000003,0.000592,0.055572,-838.707886,285.842072,615.838135
31,0,0.000053,0.000673,0.055619,-838.710083,285.847412,615.846497
32,0,-0.000032,0.000479,0.055537,-838.702026,285.829498,615.841919
33,0,-0.000007,0.000562,0.055576,-838.707092,285.843079,615.841064
34,0,0.000006,0.000706,0.055548,-838.720032,285.839722,615.835144
35,0,-0.000043,0.000597,0.055576,-838.707458,285.838837,615.846008
36,0,0.000065,0.000641,0.055543,-838.721069,285.849609,615.841309
37,0,-0.000042,0.000433,0.055532,-838.693481,285.835968,615.838196
38,0,-0.000005,0.000677,0.055582,-838.715515,285.835846,615.835022
39,0,0.000105,0.000433,0.055559,-838.687439,285.854645,615.836792
40,0,0.000031,0.000596,0.055603,-838.702942,285.851471,615.839050
41,0,0.000067,0.000490,0.055494,-838.701538,285.846405,615.839661
42,0,-0.000071,0.000575,0.055540,-838.707703,285.833069,615.840759
43,0,0.000049,0.000550,0.055537,-838.705078,285.849213,615.835754
44,0,-0.000062,0.000671,0.055595,-838.710327,285.831360,615.844421
45,0,-0.000027,0.000655,0.055528,-838.711548,285.842255,615.840332
46,0,-0.000060,0.000694,0.055652,-838.713196,285.833221,615.838074
47,0,-0.000031,0.000582,0.055488,-838.707153,285.843506,615.838806
48,0,0.000004,0.000480,0.055525,-838.699036,285.844025,615.844177
49,0,-0.000057,0.000550,0.055545,-838.700439,285.833801,615.846069
50,0,0.000096,0.000655,0.055582,-838.715637,285.853516,615.847656
51,0,-0.000041,0.000526,0.055536,-838.695740,285.841156,615.839600
52,0,0.000086,0.000451,0.055528,-838.692383,285.846466,615.831360
53,0,0.000001,0.000489,0.055461,-838.694702,285.841095,615.839600
54,0,-0.000010,0.000674,0.055581,-838.717407,285.836700,615.845459
55,0,-0.000021,0.000546,0.055560,-838.695740,285.836914,615.832581
56,0,0.000027,0.000740,0.055538,-838.723206,285.840332,615.846863
57,0,-0.000060,0.000720,0.055556,-838.712036,285.838745,615.839478
58,0,-0.000009,0.000569,0.055501,-838.704834,285.850006,615.840393
59,0,-0.000019,0.000574,0.055504,-838.703003,285.841064,615.846436
60,0,-0.000059,0.000639,0.055597,-838.710876,285.835724,615.840332
61,0,-0.000113,0.000699,0.055559,-838.710144,285.823578,615.843140
62,0,-0.000030,0.000827,0.055570,-838.723267,285.838776,615.838928
63,0,-0.000126,0.000725,0.055508,-838.717285,285.831696,615.844360
64,0,0.000010,0.000775,0.055605,-838.719238,285.843719,615.847412
65,0,-0.000101,0.000727,0.055572,-838.712708,285.834625,615.845947
66,0,0.000050,0.000637,0.055612,-838.712219,285.841736,615.837646
67,0,-0.000033,0.000571,0.055559,-838.699646,285.834503,615.833435
68,0,-0.000145,0.000697,0.055564,-838.713684,285.825684,615.841370
69,0,0.000044,0.000692,0.055564,-838.711609,285.852783,615.841064
70,0,-0.000092,0.000643,0.055513,-838.712646,285.836060,615.836731
71,0,0.000033,0.000621,0.055555,-838.709656,285.841370,615.833496
72,0,0.000057,0.000606,0.055550,-838.699768,285.843597,615.834656
73,0,-0.000070,0.000690,0.055550,-838.713074,285.841003,615.845276
74,0,-0.000184,0.000820,0.055575,-838.722351,285.831787,615.843445
75,0,0.000009,0.000607,0.055578,-838.700684,285.841125,615.845215
76,0,-0.000150,0.000854,0.055565,-838.719238,285.836884,615.840271
77,0,0.000041,0.000738,0.055598,-838.716125,285.841003,615.837280
78,0,-0.000158,0.000817,0.055635,-838.708984,285.831573,615.841614
79,0,0.000022,0.000702,0.055588,-838.705261,285.849274,615.838623
80,0,-0.000033,0.000667,0.055557,-838.703064,285.839508,615.841553
81,0,-0.000103,0.000745,0.055607,-838.710266,285.827606,615.844116
82,0,-0.000049,0.000682,0.055560,-838.703247,285.836456,615.836426
83,0,-0.000097,0.000676,0.055643,-838.700623,285.837372,615.841431
84,0,-0.000021,0.000707,0.055624,-838.704590,285.839478,615.841736
85,0,-0.000042,0.000585,0.055579,-838.705017,285.839294,615.841614
86,0,-0.000043,0.000638,0.055605,-838.705383,285.843781,615.837097
87,0,-0.000083,0.000511,0.055539,-838.688354,285.840302,615.838013
88,0,-0.000079,0.000859,0.055562,-838.714294,285.845917,615.840393
89,0,-0.000063,0.000787,0.055618,-838.715332,285.833435,615.847107
90,0,-0.000064,0.000737,0.055507,-838.710815,285.836761,615.843689
91,0,-0.000087,0.000647,0.055572,-838.704773,285.836487,615.838318
92,0,-0.000063,0.000853,0.055583,-838.711731,285.845001,615.837524
93,0,-0.000114,0.000750,0.055539,-838.710510,285.833466,615.837708
94,0,-0.000118,0.000595,0.055570,-838.700317,285.843719,615.840698
95,0,-0.000150,0.000730,0.055605,-838.701233,285.841827,615.840149
96,0,-0.000112,0.000799,0.055625,-838.713318,285.840027,615.846191
97,0,-0.000041,0.000829,0.055658,-838.710266,285.848083,615.846619
98,0,-0.000035,0.000682,0.055558,-838.697571,285.849152,615.835327
99,0,-0.000059,0.000739,0.055573,-838.707886,285.837189,615.846252
100,0,-0.000002,0.000849,0.055654,-838.717468,285.841675,615.835022
101,0,-0.000093,0.000729,0.055579,-838.715820,285.839203,615.846191
102,0,-0.000001,0.000695,0.055608,-838.704102,285.848694,615.846008
103,0,-0.000106,0.000769,0.055563,-838.711243,285.832672,615.844116
104,0,-0.000094,0.000841,0.055603,-838.712280,285.839050,615.843628
105,0,-0.000023,0.000633,0.055576,-838.700928,285.846313,615.839600
106,0,-0.000059,0.000746,0.055590,-838.700012,285.841522,615.846497
107,0,-0.000138,0.000780,0.055614,-838.704590,285.837830,615.845825
108,0,-0.000161,0.000627,0.055582,-838.694763,285.832336,615.836670
109,0,-0.000139,0.000813,0.055634,-838.703796,285.838654,615.843750
110,0,-0.000037,0.000767,0.055640,-838.710388,285.848846,615.840149
111,0,-0.000139,0.000731,0.055540,-838.707031,285.835388,615.838135
112,0,-0.000123,0.000869,0.055607,-838.711975,285.836090,615.839294
113,0,-0.000126,0.000698,0.055647,-838.697937,285.839417,615.837341
114,0,-0.000078,0.000588,0.055608,-838.692993,285.839752,615.833435
115,0,-0.000153,0.000811,0.055596,-838.716675,285.831726,615.844360
116,0,-0.000075,0.000847,0.055633,-838.712341,285.839325,615.841553
117,0,-0.000091,0.000676,0.055702,-838.699097,285.842987,615.839783
118,0,-0.000077,0.000773,0.055589,-838.711365,285.837708,615.836182
119,0,-0.000055,0.000611,0.055520,-838.691467,285.850739,615.835388
120,0,-0.000096,0.000800,0.055634,-838.706482,285.839020,615.836243
121,0,-0.000086,0.000724,0.055588,-838.700684,285.841431,615.839417
122,0,-0.000105,0.000845,0.055683,-838.707764,285.829895,615.835876
123,0,-0.000065,0.000624,0.055631,-838.690857,285.836945,615.835022
124,0,-0.000104,0.000920,0.055669,-838.723877,285.834900,615.846130
125,0,-0.000101,0.000643,0.055566,-838.698486,285.841675,615.837341
126,0,-0.000102,0.000755,0.055650,-838.702332,285.839996,615.834351
127,0,-0.000092,0.000951,0.055658,-838.723877,285.841125,615.839539
128,0,-0.000094,0.000702,0.055606,-838.699097,285.841431,615.835999
129,0,-0.000078,0.000816,0.055630,-838.712097,285.842346,615.843994
130,0,-0.000068,0.000712,0.055610,-838.696716,285.846039,615.836426
131,0,-0.000151,0.000826,0.055600,-838.712891,285.845551,615.837341
132,0,-0.000074,0.000781,0.055660,-838.702881,285.841827,615.840881
133,0,-0.000052,0.000732,0.055587,-838.703796,285.840454,615.836243
134,0,-0.000065,0.000582,0.055538,-838.688171,285.840729,615.832214
135,0,-0.000164,0.000811,0.055569,-838.706482,285.840393,615.832764
136,0,-0.000090,0.000851,0.055729,-838.701599,285.846588,615.841797
137,0,-0.000109,0.000892,0.055658,-838.711121,285.849792,615.844971
138,0,-0.000100,0.000655,0.055597,-838.693115,285.844604,615.833984
139,0,-0.000147,0.000594,0.055609,-838.691101,285.833984,615.831604
140,0,-0.000161,0.000877,0.055609,-838.703979,285.843994,615.848511
141,0,-0.000123,0.000716,0.055563,-838.692261,285.844391,615.842468
142,0,-0.000061,0.000745,0.055691,-838.697632,285.843140,615.839539
143,0,-0.000138,0.000701,0.055561,-838.693054,285.844971,615.837952
144,0,-0.000112,0.000771,0.055574,-838.692566,285.844177,615.842834
145,0,-0.000194,0.000913,0.055644,-838.712830,285.838776,615.849365
146,0,-0.000199,0.000995,0.055651,-838.718811,285.832642,615.844849
147,0,-0.000070,0.000839,0.055674,-838.708130,285.842438,615.844299
148,0,-0.000154,0.000945,0.055618,-838.710693,285.845490,615.844238
149,0,-0.000060,0.000945,0.055687,-838.709412,285.843201,615.843567
150,0,-0.000174,0.000859,0.055680,-838.705872,285.832123,615.841980
151,0,-0.000122,0.000873,0.055713,-838.704590,285.839264,615.835266
152,0,-0.000165,0.000595,0.055645,-838.683289,285.845917,615.836731
153,0,-0.000189,0.000646,0.055611,-838.692017,285.828888,615.828308
154,0,-0.000101,0.000940,0.055601,-838.715149,285.847046,615.834167
155,0,-0.000175,0.000957,0.055696,-838.714966,285.833496,615.839111
156,0,-0.000150,0.000972,0.055632,-838.718323,285.841553,615.828857
157,0,-0.000137,0.000900,0.055652,-838.704590,285.846741,615.845398
158,0,-0.000192,0.000868,0.055625,-838.703735,285.838379,615.830872
159,0,-0.000153,0.001005,0.055767,-838.715149,285.833618,615.839417
160,0,-0.000160,0.000952,0.055685,-838.709656,285.842560,615.837036
161,0,-0.000212,0.000861,0.055579,-838.708435,285.835571,615.835999
162,0,-0.000158,0.000881,0.055645,-838.708374,285.836823,615.833740
163,0,-0.000111,0.000832,0.055633,-838.712341,285.837189,615.842896
164,0,-0.000243,0.000954,0.055692,-838.713196,285.822998,615.838745
165,0,-0.000143,0.000798,0.055605,-838.702087,285.844910,615.835571
166,0,-0.000061,0.000970,0.055632,-838.710999,285.849548,615.840454
167,0,-0.000121,0.000815,0.055690,-838.700623,285.847443,615.830017
168,0,-0.000158,0.000868,0.055639,-838.705261,285.841980,615.830933
169,0,-0.000165,0.000792,0.055649,-838.700500,285.839569,615.831665
170,0,-0.000156,0.000921,0.055706,-838.703613,285.836670,615.831909
171,0,-0.000137,0.000938,0.055722,-838.704895,285.841064,615.835205
172,0,-0.000138,0.000873,0.055678,-838.701721,285.841095,615.834229
173,0,-0.000103,0.000844,0.055679,-838.702148,285.843903,615.832031
174,0,-0.000185,0.000942,0.055613,-838.718628,285.838135,615.831909
175,0,-0.000111,0.000898,0.055680,-838.695251,285.846680,615.839111
176,0,-0.000180,0.000979,0.055674,-838.711426,285.829163,615.836487
177,0,-0.000129,0.000888,0.055680,-838.704773,285.848145,615.839783
178,0,-0.000148,0.000927,0.055662,-838.707947,285.841156,615.836792
179,0,-0.000153,0.000817,0.055679,-838.696899,285.847046,615.831299
180,0,-0.000069,0.000872,0.055694,-838.698547,285.852600,615.827515
181,0,-0.000188,0.000797,0.055607,-838.694458,285.839081,615.830627
182,0,-0.000196,0.000928,0.055683,-838.703674,285.838654,615.828125
183,0,-0.000175,0.000903,0.055652,-838.700684,285.837158,615.826172
184,0,-0.000104,0.000978,0.055716,-838.711975,285.843292,615.838379
185,0,-0.000127,0.000970,0.055732,-838.704590,285.837677,615.832520
186,0,-0.000101,0.000731,0.055654,-838.691467,285.846161,615.820190
187,0,-0.000162,0.000988,0.055665,-838.707092,285.829407,615.836853
188,0,-0.000167,0.000965,0.055689,-838.708130,285.842010,615.835022
189,0,-0.000206,0.001028,0.055681,-838.719849,285.838989,615.847107
190,0,-0.000183,0.000715,0.055584,-838.685364,285.839996,615.821350
191,0,-0.000141,0.000964,0.055706,-838.703491,285.842346,615.832886
192,0,-0.000188,0.000929,0.055649,-838.711243,285.834015,615.834229
193,0,-0.000213,0.000952,0.055721,-838.702087,285.833099,615.829834
194,0,-0.000191,0.000828,0.055667,-838.695129,285.836975,615.832642
195,0,-0.000204,0.000868,0.055715,-838.699524,285.837402,615.830811
196,0,-0.000179,0.001055,0.055691,-838.721497,285.838440,615.829651
197,0,-0.000174,0.001072,0.055623,-838.718140,285.841827,615.837219
198,0,-0.000129,0.000975,0.055672,-838.700195,285.852936,615.823730
199,0,-0.000236,0.001014,0.055693,-838.704712,285.841339,615.826782
200,0,-0.000193,0.001017,0.055749,-838.704773,285.842346,615.834412
201,0,-0.000135,0.000860,0.055582,-838.692383,285.844391,615.814636
202,0,-0.000210,0.000966,0.055627,-838.711121,285.836151,615.821777
203,0,-0.000149,0.000890,0.055658,-838.691711,285.845367,615.830139
204,0,-0.000087,0.000947,0.055732,-838.700134,285.841370,615.832214
205,0,-0.000147,0.000853,0.055629,-838.692566,285.842255,615.831604
206,0,-0.000201,0.000992,0.055646,-838.705811,285.847107,615.836792
207,0,-0.000237,0.000974,0.055691,-838.707092,285.832520,615.839294
208,0,-0.000195,0.000901,0.055603,-838.698669,285.843048,615.833069
209,0,-0.000139,0.000826,0.055631,-838.696960,285.845398,615.829102
210,0,-0.000268,0.001111,0.055714,-838.716797,285.830231,615.836914
211,0,-0.000139,0.001070,0.055719,-838.713562,285.846100,615.828796
212,0,-0.000206,0.000978,0.055639,-838.698364,285.841522,615.832703
213,0,-0.000193,0.000989,0.055615,-838.704224,285.841003,615.836853
214,0,-0.000180,0.000942,0.055699,-838.695374,285.839417,615.835327
