Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.002576,-0.061934,0.092869,-839.691711,282.694305,612.068665
2,0,-0.002611,-0.061996,0.092786,-839.697754,282.689209,612.073730
3,0,-0.002611,-0.062039,0.092846,-839.690308,282.683899,612.057556
4,0,-0.002505,-0.062175,0.092781,-839.676819,282.702698,612.058411
5,0,-0.002551,-0.062106,0.092915,-839.676697,282.700470,612.072021
6,0,-0.002597,-0.061918,0.092842,-839.700806,282.696533,612.068481
7,0,-0.002559,-0.062087,0.092878,-839.680176,282.697937,612.066406
8,0,-0.002586,-0.062159,0.092780,-839.684082,282.693176,612.060425
9,0,-0.002569,-0.062206,0.092876,-839.667114,282.696136,612.062256
10,0,-0.002618,-0.061995,0.092882,-839.692749,282.692139,612.064148
11,0,-0.002518,-0.062277,0.092753,-839.668579,282.705902,612.067139
12,0,-0.002517,-0.062228,0.092846,-839.674377,282.695892,612.058167
13,0,-0.002612,-0.061995,0.092857,-839.691956,282.683167,612.074707
14,0,-0.002552,-0.062181,0.092833,-839.680969,282.706085,612.067261
15,0,-0.002532,-0.062224,0.092914,-839.663940,282.695251,612.059631
16,0,-0.002601,-0.061930,0.092914,-839.691650,282.693176,612.075012
17,0,-0.002543,-0.062229,0.092857,-839.661438,282.703522,612.069641
18,0,-0.002539,-0.062186,0.092812,-839.675415,282.705536,612.064697
19,0,-0.002521,-0.062005,0.092892,-839.686707,282.705048,612.067810
20,0,-0.002496,-0.062114,0.092888,-839.682617,282.694672,612.062866
21,0,-0.002606,-0.061975,0.092886,-839.692932,282.690643,612.069702
22,0,-0.002471,-0.062168,0.092800,-839.677856,282.695953,612.063538
23,0,-0.002555,-0.062225,0.092845,-839.663879,282.709229,612.065186
24,0,-0.002552,-0.062119,0.092729,-839.680725,282.694916,612.068420
25,0,-0.002634,-0.062115,0.092824,-839.682007,282.688019,612.067200
26,0,-0.002528,-0.062051,0.092846,-839.685425,282.696045,612.069458
