Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.010011,-0.057588,0.109622,-837.836548,284.857574,611.903687
2,0,-0.010024,-0.057601,0.109640,-837.835999,284.853485,611.907104
3,0,-0.010028,-0.057567,0.109691,-837.832397,284.851196,611.904541
4,0,-0.010007,-0.057489,0.109645,-837.846069,284.853333,611.898438
5,0,-0.010091,-0.057561,0.109576,-837.838928,284.848572,611.904724
6,0,-0.009957,-0.057639,0.109627,-837.826965,284.864441,611.892395
7,0,-0.010085,-0.057545,0.109663,-837.834351,284.849182,611.910400
8,0,-0.009942,-0.057638,0.109722,-837.825134,284.859070,611.891907
9,0,-0.010016,-0.057545,0.109553,-837.844055,284.856262,611.903687
10,0,-0.010062,-0.057681,0.109647,-837.818481,284.845978,611.906494
11,0,-0.010018,-0.057543,0.109647,-837.842651,284.847717,611.888062
12,0,-0.009929,-0.057516,0.109695,-837.845703,284.850220,611.893982
13,0,-0.009925,-0.057612,0.109639,-837.835999,284.860443,611.896667
14,0,-0.010025,-0.057408,0.109654,-837.852905,284.857086,611.906311
15,0,-0.010082,-0.057624,0.109536,-837.832214,284.845947,611.891296
16,0,-0.009950,-0.057492,0.109708,-837.839539,284.858063,611.894836
17,0,-0.010094,-0.057641,0.109647,-837.816772,284.856812,611.898804
18,0,-0.009996,-0.057690,0.109602,-837.818115,284.859100,611.891663
19,0,-0.009966,-0.057659,0.109648,-837.827332,284.858582,611.897156
20,0,-0.009914,-0.057636,0.109581,-837.830627,284.858154,611.898071
21,0,-0.010070,-0.057390,0.109644,-837.854797,284.853851,611.910828
22,0,-0.010087,-0.057548,0.109633,-837.831970,284.845520,611.904419
23,0,-0.009989,-0.057529,0.109609,-837.838867,284.868225,611.893677
24,0,-0.009988,-0.057437,0.109674,-837.853821,284.859711,611.900757
25,0,-0.009966,-0.057476,0.109620,-837.847473,284.864624,611.903748
26,0,-0.010004,-0.057485,0.109607,-837.836792,284.859222,611.899231
27,0,-0.009976,-0.057584,0.109642,-837.832336,284.868713,611.889954
28,0,-0.010020,-0.057391,0.109642,-837.843384,284.860168,611.906799
29,0,-0.009999,-0.057506,0.109635,-837.838745,284.858154,611.904541
30,0,-0.009867,-0.057543,0.109678,-837.827759,284.875000,611.897583
31,0,-0.009973,-0.057749,0.109624,-837.815979,284.859833,611.890930
32,0,-0.010030,-0.057432,0.109648,-837.845276,284.846588,611.897400
33,0,-0.010075,-0.057618,0.109586,-837.828674,284.852722,611.897949
34,0,-0.010028,-0.057571,0.109625,-837.831604,284.865845,611.902039
35,0,-0.010101,-0.057637,0.109622,-837.830933,284.846649,611.896423
36,0,-0.010004,-0.057743,0.109640,-837.822266,284.854218,611.888062
37,0,-0.009970,-0.057711,0.109582,-837.821777,284.854309,611.893494
38,0,-0.010014,-0.057476,0.109593,-837.839722,284.863251,611.901855
39,0,-0.010072,-0.057378,0.109620,-837.855774,284.851593,611.897339
40,0,-0.009978,-0.057760,0.109567,-837.822327,284.854340,611.888000
41,0,-0.010014,-0.057514,0.109722,-837.837158,284.847473,611.898682
42,0,-0.009805,-0.057762,0.109491,-837.822449,284.882416,611.887634
43,0,-0.009970,-0.057784,0.109518,-837.818237,284.865051,611.888977
44,0,-0.010049,-0.057518,0.109661,-837.833801,284.851563,611.902588
45,0,-0.010009,-0.057588,0.109629,-837.838318,284.857819,611.893921
46,0,-0.009962,-0.057415,0.109621,-837.847839,284.862000,611.900940
