Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.010674,-0.059077,0.110340,-838.424194,284.083282,611.841797
2,0,-0.010677,-0.059116,0.110378,-838.427551,284.083466,611.825317
3,0,-0.010715,-0.059149,0.110315,-838.418762,284.082397,611.839722
4,0,-0.010728,-0.059084,0.110355,-838.425232,284.090363,611.835327
5,0,-0.010686,-0.059177,0.110438,-838.416382,284.079407,611.836182
6,0,-0.010680,-0.059274,0.110408,-838.403503,284.083679,611.827881
7,0,-0.010681,-0.059164,0.110366,-838.419678,284.080444,611.835571
8,0,-0.010597,-0.059310,0.110323,-838.409607,284.083008,611.835938
9,0,-0.010650,-0.059127,0.110405,-838.424805,284.085907,611.841675
10,0,-0.010784,-0.059170,0.110337,-838.410583,284.077118,611.847168
11,0,-0.010739,-0.059021,0.110385,-838.428955,284.081696,611.840210
12,0,-0.010678,-0.059281,0.110372,-838.410034,284.080780,611.833130
13,0,-0.010615,-0.059250,0.110281,-838.410767,284.100708,611.838623
14,0,-0.010750,-0.059103,0.110408,-838.420471,284.077698,611.840454
15,0,-0.010686,-0.059062,0.110366,-838.426514,284.082184,611.837524
16,0,-0.010721,-0.059107,0.110353,-838.418457,284.089691,611.842590
17,0,-0.010755,-0.059107,0.110413,-838.420471,284.070770,611.833923
18,0,-0.010732,-0.059123,0.110387,-838.425354,284.079773,611.840820
19,0,-0.010699,-0.058991,0.110402,-838.431030,284.086548,611.838745
20,0,-0.010675,-0.058943,0.110403,-838.441772,284.085785,611.840271
21,0,-0.010701,-0.059200,0.110344,-838.409119,284.085297,611.841736
22,0,-0.010809,-0.059088,0.110430,-838.419312,284.075409,611.844177
23,0,-0.010691,-0.058953,0.110421,-838.435486,284.088074,611.844543
24,0,-0.010670,-0.059338,0.110371,-838.394897,284.080536,611.836609
25,0,-0.010682,-0.058989,0.110364,-838.430969,284.078400,611.842407
26,0,-0.010641,-0.059170,0.110354,-838.417114,284.078125,611.831299
27,0,-0.010646,-0.059214,0.110350,-838.410278,284.083893,611.836426
28,0,-0.010689,-0.059290,0.110294,-838.412476,284.084717,611.834839
29,0,-0.010684,-0.059359,0.110298,-838.406128,284.087494,611.835876
30,0,-0.010725,-0.059001,0.110400,-838.431824,284.084503,611.844055
31,0,-0.010730,-0.059040,0.110376,-838.428528,284.072357,611.842163
