Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.009615,0.003611,0.006480,-835.087524,285.209259,612.326233
2,0,-0.009706,0.003557,0.006508,-835.087891,285.200592,612.324463
3,0,-0.009664,0.003714,0.006579,-835.104431,285.192993,612.333069
4,0,-0.009743,0.003927,0.006618,-835.110229,285.191254,612.339172
5,0,-0.009726,0.003543,0.006495,-835.078247,285.203857,612.329102
6,0,-0.009707,0.003655,0.006563,-835.091553,285.195587,612.324829
7,0,-0.009772,0.003886,0.006579,-835.111084,285.192108,612.333313
8,0,-0.009710,0.003880,0.006649,-835.111694,285.190613,612.329163
9,0,-0.009617,0.003824,0.006529,-835.109924,285.205841,612.328003
10,0,-0.009676,0.003598,0.006582,-835.088806,285.192657,612.326294
11,0,-0.009794,0.003865,0.006580,-835.109375,285.191132,612.334900
12,0,-0.009701,0.003750,0.006600,-835.101929,285.187592,612.330994
13,0,-0.009732,0.003872,0.006544,-835.111389,285.199158,612.329468
14,0,-0.009668,0.003695,0.006563,-835.092285,285.202942,612.338196
15,0,-0.009741,0.003802,0.006642,-835.109741,285.190063,612.334290
16,0,-0.009774,0.003862,0.006543,-835.108276,285.189514,612.330261
17,0,-0.009619,0.003535,0.006589,-835.079651,285.207977,612.321350
18,0,-0.009731,0.003775,0.006535,-835.106445,285.199615,612.330627
19,0,-0.009810,0.003785,0.006572,-835.100098,285.190857,612.332458
20,0,-0.009717,0.003737,0.006590,-835.099365,285.201202,612.330566
21,0,-0.009762,0.003789,0.006587,-835.103516,285.192871,612.330688
22,0,-0.009756,0.003788,0.006574,-835.100159,285.186951,612.323547
23,0,-0.009707,0.003596,0.006517,-835.090210,285.201385,612.328247
24,0,-0.009677,0.004016,0.006501,-835.122375,285.208160,612.334839
25,0,-0.009737,0.003847,0.006561,-835.107300,285.198669,612.331238
26,0,-0.009697,0.003766,0.006560,-835.098267,285.195526,612.328735
27,0,-0.009710,0.003645,0.006534,-835.091553,285.194122,612.313354
28,0,-0.009653,0.003713,0.006491,-835.098938,285.213379,612.322937
29,0,-0.009786,0.003587,0.006565,-835.089905,285.189087,612.321716
30,0,-0.009774,0.003663,0.006586,-835.090576,285.194763,612.335449
31,0,-0.009636,0.003553,0.006502,-835.089172,285.199646,612.323120
32,0,-0.009667,0.003759,0.006587,-835.097412,285.202972,612.327393
33,0,-0.009679,0.003630,0.006541,-835.085938,285.206543,612.326721
34,0,-0.009759,0.003948,0.006670,-835.117126,285.190216,612.335449
35,0,-0.009720,0.003676,0.006586,-835.093018,285.194031,612.331726
36,0,-0.009696,0.003772,0.006517,-835.108887,285.194275,612.333069
37,0,-0.009653,0.003640,0.006519,-835.090515,285.207397,612.326538
38,0,-0.009745,0.003903,0.006591,-835.117981,285.192963,612.330688
39,0,-0.009690,0.003693,0.006530,-835.096985,285.202271,612.325500
40,0,-0.009706,0.003660,0.006489,-835.093262,285.200623,612.326904
41,0,-0.009722,0.003731,0.006581,-835.100281,285.196777,612.327271
42,0,-0.009730,0.003800,0.006586,-835.107422,285.189636,612.332642
43,0,-0.009731,0.003699,0.006561,-835.090942,285.201324,612.324951
44,0,-0.009827,0.003935,0.006544,-835.118042,285.193756,612.349792
45,0,-0.009713,0.003840,0.006664,-835.102234,285.186493,612.320557
46,0,-0.009774,0.003725,0.006580,-835.094910,285.190613,612.333862
47,0,-0.009761,0.003720,0.006523,-835.094910,285.192932,612.328308
48,0,-0.009617,0.003673,0.006568,-835.084778,285.199005,612.327820
49,0,-0.009770,0.003760,0.006646,-835.104187,285.189331,612.333679
50,0,-0.009758,0.003729,0.006590,-835.103699,285.181671,612.329956
51,0,-0.009697,0.003708,0.006533,-835.096436,285.194733,612.325745
52,0,-0.009713,0.003990,0.006611,-835.116760,285.193512,612.338684
53,0,-0.009658,0.003648,0.006638,-835.086853,285.202423,612.326355
54,0,-0.009581,0.003555,0.006590,-835.084534,285.203735,612.317688
55,0,-0.009733,0.003838,0.006559,-835.100830,285.199677,612.337463
56,0,-0.009662,0.003705,0.006590,-835.096130,285.203186,612.326294
57,0,-0.009662,0.003791,0.006585,-835.098633,285.197876,612.327942
58,0,-0.009629,0.003702,0.006590,-835.088196,285.211517,612.328186
59,0,-0.009813,0.003702,0.006549,-835.092102,285.196167,612.328186
60,0,-0.009722,0.003710,0.006506,-835.104187,285.196838,612.323792
61,0,-0.009709,0.003730,0.006635,-835.097290,285.198456,612.331482
62,0,-0.009715,0.003794,0.006594,-835.098572,285.196350,612.322205
63,0,-0.009684,0.003732,0.006549,-835.094299,285.205536,612.327881
64,0,-0.009678,0.003901,0.006588,-835.115295,285.197113,612.335449
65,0,-0.009715,0.003879,0.006540,-835.117310,285.197266,612.342346
66,0,-0.009752,0.003772,0.006566,-835.101990,285.195404,612.333984
67,0,-0.009768,0.003695,0.006555,-835.087036,285.194489,612.324768
68,0,-0.009666,0.003638,0.006576,-835.085327,285.206299,612.323303
69,0,-0.009649,0.003895,0.006601,-835.117126,285.208496,612.330933
70,0,-0.009817,0.003742,0.006632,-835.096619,285.188477,612.334717
71,0,-0.009765,0.003716,0.006549,-835.104675,285.188568,612.323547
72,0,-0.009675,0.004027,0.006651,-835.121277,285.205566,612.338745
73,0,-0.009627,0.003592,0.006516,-835.091919,285.210144,612.328674
74,0,-0.009750,0.003727,0.006633,-835.093079,285.189789,612.320374
75,0,-0.009702,0.003807,0.006578,-835.108521,285.195496,612.333679
76,0,-0.009681,0.003845,0.006544,-835.109314,285.201599,612.328064
77,0,-0.009736,0.003866,0.006574,-835.108643,285.195374,612.326111
78,0,-0.009807,0.003870,0.006576,-835.110840,285.200531,612.336182
79,0,-0.009701,0.003718,0.006574,-835.100952,285.200653,612.325623
80,0,-0.009631,0.003549,0.006470,-835.087646,285.215851,612.331299
81,0,-0.009744,0.003777,0.006635,-835.096680,285.183044,612.333801
82,0,-0.009693,0.003596,0.006537,-835.086792,285.198792,612.318298
83,0,-0.009688,0.003699,0.006554,-835.093018,285.201050,612.328857
84,0,-0.009753,0.003695,0.006579,-835.099426,285.199493,612.336121
