Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.005154,0.008281,0.007060,-838.527222,282.886688,611.476196
2,0,-0.005143,0.008016,0.007016,-838.502075,282.882324,611.460266
3,0,-0.005193,0.008429,0.007069,-838.538940,282.883179,611.480408
4,0,-0.005245,0.008214,0.007024,-838.519714,282.869385,611.468323
5,0,-0.005264,0.008339,0.007125,-838.538635,282.873230,611.471130
6,0,-0.005199,0.008174,0.007021,-838.523987,282.875519,611.463745
7,0,-0.005183,0.008132,0.007046,-838.523560,282.882629,611.459351
8,0,-0.005123,0.008171,0.006996,-838.518738,282.887421,611.462341
9,0,-0.005237,0.008420,0.007076,-838.538086,282.878174,611.477661
10,0,-0.005213,0.008287,0.007114,-838.523315,282.870636,611.468384
11,0,-0.005118,0.008090,0.007050,-838.511902,282.890106,611.466003
12,0,-0.005147,0.008174,0.007015,-838.525879,282.875031,611.465454
13,0,-0.005202,0.008286,0.007062,-838.536377,282.878723,611.469421
14,0,-0.005130,0.008358,0.007053,-838.538879,282.888733,611.471802
15,0,-0.005144,0.008314,0.007056,-838.534485,282.879517,611.468994
16,0,-0.005226,0.008282,0.007045,-838.530823,282.864777,611.467407
17,0,-0.005255,0.008319,0.007033,-838.524414,282.873627,611.474548
18,0,-0.005213,0.008301,0.007012,-838.532471,282.887695,611.479858
19,0,-0.005292,0.008326,0.007081,-838.537598,282.866730,611.474182
20,0,-0.005196,0.008246,0.007017,-838.524292,282.879211,611.473328
21,0,-0.005099,0.008391,0.007058,-838.542969,282.882721,611.460632
22,0,-0.005197,0.008048,0.007090,-838.505981,282.882507,611.465210
23,0,-0.005205,0.008246,0.007091,-838.523865,282.874176,611.473755
24,0,-0.005155,0.008098,0.007016,-838.514771,282.869324,611.464417
25,0,-0.005208,0.008345,0.007079,-838.534790,282.877258,611.467896
26,0,-0.005203,0.008180,0.007005,-838.515564,282.879333,611.472290
27,0,-0.005230,0.008291,0.007091,-838.532227,282.879639,611.473999
