Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.017432,-0.039925,0.079934,-844.284546,297.051086,584.196167
2,0,0.017324,-0.039649,0.080049,-844.306458,297.045929,584.185547
3,0,0.017401,-0.039972,0.079916,-844.282654,297.077087,584.171570
4,0,0.017375,-0.039925,0.079980,-844.285645,297.066650,584.178223
5,0,0.017310,-0.039665,0.079997,-844.306641,297.069977,584.167480
6,0,0.017266,-0.039727,0.080004,-844.299927,297.051453,584.186035
7,0,0.017375,-0.039854,0.079995,-844.287598,297.067749,584.174500
8,0,0.017364,-0.039739,0.080021,-844.299072,297.065155,584.178650
9,0,0.017347,-0.039797,0.079964,-844.290344,297.053009,584.180176
10,0,0.017331,-0.039601,0.080070,-844.302429,297.056061,584.187744
11,0,0.017272,-0.039778,0.079985,-844.290955,297.046326,584.188599
12,0,0.017360,-0.039842,0.079985,-844.292725,297.058746,584.185303
13,0,0.017430,-0.039950,0.079933,-844.278809,297.060333,584.181519
14,0,0.017349,-0.039824,0.079992,-844.289001,297.045837,584.187744
15,0,0.017393,-0.039852,0.079965,-844.287292,297.047668,584.194580
16,0,0.017346,-0.039695,0.080023,-844.298340,297.048035,584.194580
17,0,0.017366,-0.039896,0.079948,-844.287415,297.061127,584.184814
18,0,0.017337,-0.039718,0.080054,-844.295959,297.057526,584.188904
19,0,0.017273,-0.039670,0.080024,-844.301636,297.031189,584.202637
20,0,0.017410,-0.039961,0.079917,-844.283813,297.054596,584.182617
21,0,0.017431,-0.039867,0.079949,-844.289795,297.055237,584.187561
22,0,0.017306,-0.039868,0.079972,-844.287537,297.047028,584.190247
23,0,0.017288,-0.039833,0.079968,-844.290283,297.044983,584.192627
24,0,0.017410,-0.039948,0.079903,-844.276428,297.061890,584.181030
25,0,0.017301,-0.039788,0.079988,-844.290894,297.038269,584.199768
26,0,0.017290,-0.039825,0.079971,-844.288269,297.037109,584.197632
27,0,0.017340,-0.040011,0.079895,-844.270508,297.041077,584.200378
28,0,0.017432,-0.039885,0.079917,-844.287354,297.059967,584.186096
29,0,0.017286,-0.039781,0.080020,-844.294678,297.044312,584.193176
30,0,0.017369,-0.039759,0.080011,-844.298401,297.061615,584.180725
31,0,0.017295,-0.039818,0.080024,-844.288940,297.033600,584.201538
32,0,0.017362,-0.039889,0.079924,-844.287903,297.046844,584.191833
33,0,0.017303,-0.039765,0.079987,-844.297180,297.069336,584.168030
34,0,0.017326,-0.039644,0.080090,-844.302979,297.035553,584.200256
35,0,0.017265,-0.039741,0.080045,-844.294128,297.031921,584.195801
36,0,0.017331,-0.039891,0.079948,-844.281372,297.047119,584.192627
37,0,0.017371,-0.039712,0.080048,-844.294617,297.033020,584.201599
38,0,0.017348,-0.039907,0.079960,-844.287903,297.058075,584.182922
39,0,0.017265,-0.039938,0.079952,-844.284973,297.049133,584.180481
40,0,0.017314,-0.039950,0.079973,-844.283447,297.059021,584.179199
41,0,0.017446,-0.040099,0.079866,-844.267334,297.070831,584.180420
42,0,0.017369,-0.039887,0.079969,-844.285339,297.059387,584.184021
43,0,0.017269,-0.039839,0.079986,-844.283325,297.023682,584.205627
44,0,0.017375,-0.039905,0.079989,-844.278198,297.044983,584.197083
45,0,0.017289,-0.039689,0.080047,-844.300598,297.044739,584.187988
46,0,0.017367,-0.039831,0.079972,-844.295959,297.060425,584.183655
47,0,0.017319,-0.039769,0.079958,-844.301880,297.057220,584.180420
48,0,0.017281,-0.039832,0.079968,-844.285583,297.039429,584.193176
49,0,0.017417,-0.039776,0.079930,-844.299255,297.058228,584.189209
50,0,0.017310,-0.039799,0.080018,-844.291382,297.051514,584.183777
51,0,0.017410,-0.039693,0.079916,-844.307373,297.068146,584.176331
52,0,0.017202,-0.039529,0.080098,-844.309265,297.027710,584.208130
53,0,0.017377,-0.039845,0.079962,-844.289368,297.057983,584.184387
54,0,0.017370,-0.039973,0.079918,-844.282471,297.057831,584.178284
55,0,0.017238,-0.039750,0.080084,-844.291809,297.040680,584.193237
56,0,0.017231,-0.039451,0.080071,-844.320374,297.022644,584.206726
57,0,0.017421,-0.039929,0.079903,-844.281921,297.057434,584.183472
58,0,0.017341,-0.039882,0.079983,-844.283386,297.052734,584.185608
59,0,0.017444,-0.039870,0.079929,-844.290649,297.077362,584.175110
60,0,0.017288,-0.039698,0.080024,-844.291199,297.042816,584.197693
61,0,0.017362,-0.039889,0.079934,-844.283447,297.054565,584.187317
62,0,0.017313,-0.039795,0.080024,-844.291809,297.046753,584.192078
63,0,0.017300,-0.039706,0.080014,-844.294617,297.039917,584.198486
64,0,0.017346,-0.040002,0.079916,-844.277039,297.045624,584.188599
65,0,0.017287,-0.039817,0.079983,-844.290222,297.040680,584.194214
66,0,0.017238,-0.039621,0.080014,-844.305664,297.053955,584.181885
67,0,0.017377,-0.039871,0.079999,-844.289246,297.059448,584.178040
68,0,0.017302,-0.039841,0.079951,-844.287476,297.062469,584.178040
69,0,0.017346,-0.039806,0.080027,-844.286560,297.057037,584.186340
70,0,0.017385,-0.039830,0.079990,-844.291626,297.053711,584.186584
71,0,0.017301,-0.039716,0.080022,-844.295532,297.045593,584.190735
72,0,0.017341,-0.039887,0.079963,-844.288513,297.064697,584.179871
73,0,0.017323,-0.039721,0.080012,-844.302002,297.060303,584.175354
74,0,0.017219,-0.039494,0.080123,-844.305664,297.016937,584.208435
75,0,0.017359,-0.039830,0.079952,-844.292358,297.062958,584.179199
76,0,0.017324,-0.039714,0.079984,-844.299988,297.052429,584.187988
