Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.001528,-0.026657,0.057429,-839.310791,301.381958,583.149414
2,0,0.001554,-0.026447,0.057532,-839.322693,301.382507,583.151062
3,0,0.001509,-0.026671,0.057487,-839.300903,301.377441,583.147888
4,0,0.001489,-0.026807,0.057428,-839.295288,301.380310,583.141541
5,0,0.001632,-0.026938,0.057332,-839.280457,301.401947,583.130371
6,0,0.001480,-0.026750,0.057490,-839.299561,301.376953,583.137268
7,0,0.001563,-0.026638,0.057427,-839.309387,301.391144,583.144104
8,0,0.001470,-0.026488,0.057508,-839.317810,301.378235,583.147583
9,0,0.001515,-0.026659,0.057492,-839.303955,301.380157,583.146545
10,0,0.001601,-0.026678,0.057484,-839.305847,301.390961,583.151184
11,0,0.001476,-0.026539,0.057544,-839.305054,301.378235,583.150208
12,0,0.001627,-0.026887,0.057366,-839.290344,301.398499,583.133301
13,0,0.001527,-0.026725,0.057506,-839.299500,301.378540,583.137268
14,0,0.001462,-0.026681,0.057478,-839.307556,301.378906,583.149719
15,0,0.001422,-0.026654,0.057519,-839.298584,301.354095,583.163391
16,0,0.001518,-0.026917,0.057436,-839.278259,301.364899,583.157410
17,0,0.001579,-0.026594,0.057513,-839.310364,301.382538,583.151672
18,0,0.001448,-0.026753,0.057512,-839.299988,301.384827,583.137085
19,0,0.001647,-0.026829,0.057362,-839.289917,301.398407,583.136353
20,0,0.001479,-0.026695,0.057535,-839.299927,301.364563,583.157471
21,0,0.001574,-0.026500,0.057510,-839.325195,301.398743,583.138611
22,0,0.001545,-0.026918,0.057424,-839.286560,301.387787,583.142639
23,0,0.001544,-0.026811,0.057417,-839.296631,301.386993,583.140747
24,0,0.001551,-0.026810,0.057444,-839.297180,301.378052,583.143860
25,0,0.001511,-0.026847,0.057425,-839.288879,301.383575,583.135254
26,0,0.001478,-0.026759,0.057438,-839.296265,301.378113,583.146240
27,0,0.001477,-0.026827,0.057453,-839.294189,301.388824,583.131714
28,0,0.001537,-0.026957,0.057385,-839.279785,301.378601,583.146057
29,0,0.001510,-0.026742,0.057465,-839.297302,301.374390,583.147522
30,0,0.001518,-0.026564,0.057484,-839.312195,301.383057,583.157776
31,0,0.001539,-0.026801,0.057470,-839.294434,301.386658,583.144104
32,0,0.001464,-0.026470,0.057504,-839.322571,301.375671,583.156128
33,0,0.001619,-0.026895,0.057419,-839.289368,301.395020,583.137939
34,0,0.001386,-0.026550,0.057489,-839.312134,301.356384,583.158325
35,0,0.001636,-0.026916,0.057323,-839.295227,301.405670,583.125183
36,0,0.001614,-0.026761,0.057451,-839.296021,301.395752,583.134399
37,0,0.001502,-0.026832,0.057402,-839.292480,301.385620,583.144592
38,0,0.001372,-0.026522,0.057554,-839.312866,301.363892,583.151855
39,0,0.001595,-0.027011,0.057366,-839.282654,301.405121,583.124817
40,0,0.001571,-0.026772,0.057392,-839.295044,301.381989,583.148499
41,0,0.001460,-0.026330,0.057613,-839.331116,301.370483,583.164490
42,0,0.001544,-0.026782,0.057404,-839.295532,301.363983,583.153931
43,0,-0.010582,-0.028008,0.064912,-836.943604,284.742004,613.818604
44,0,-0.010602,-0.028077,0.064946,-836.929565,284.747131,613.822510
45,0,-0.010478,-0.027884,0.064922,-836.950623,284.749695,613.818420
46,0,-0.010535,-0.027846,0.064987,-836.943237,284.746948,613.818604
47,0,-0.010543,-0.027917,0.065071,-836.942444,284.746735,613.815735
48,0,-0.010563,-0.027879,0.065037,-836.949829,284.739288,613.826050
49,0,-0.010562,-0.027692,0.065016,-836.967773,284.746277,613.832825
50,0,-0.010648,-0.028066,0.064998,-836.935608,284.732208,613.818298
51,0,-0.010506,-0.027931,0.064977,-836.952881,284.743317,613.816162
52,0,-0.010499,-0.028104,0.064901,-836.929993,284.748993,613.814880
53,0,-0.010633,-0.027754,0.064977,-836.968994,284.731323,613.827759
54,0,-0.010627,-0.028033,0.064948,-836.947327,284.734253,613.822144
55,0,-0.010581,-0.028166,0.064890,-836.931946,284.741272,613.822876
56,0,-0.010588,-0.027978,0.065037,-836.937988,284.742920,613.814087
