Objects
250
,,Global Angle TCP:TCP,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.001439,-0.043963,0.074501,-842.849243,302.297241,584.053040
2,0,0.001503,-0.043944,0.074479,-842.854553,302.332397,584.029053
3,0,0.001493,-0.043921,0.074465,-842.857422,302.316040,584.043091
4,0,0.001503,-0.044082,0.074436,-842.854187,302.330566,584.020386
5,0,0.001475,-0.044017,0.074496,-842.846375,302.296051,584.050049
6,0,0.001484,-0.044019,0.074536,-842.849121,302.306854,584.049194
7,0,0.001474,-0.044075,0.074457,-842.846069,302.305237,584.045227
8,0,0.001529,-0.044143,0.074437,-842.848022,302.327118,584.036743
9,0,0.001431,-0.043982,0.074437,-842.859131,302.316803,584.036377
10,0,0.001559,-0.044171,0.074397,-842.848572,302.331818,584.034485
11,0,0.001434,-0.044061,0.074482,-842.849182,302.310577,584.045898
12,0,0.001456,-0.043936,0.074520,-842.860779,302.309967,584.043945
13,0,0.001528,-0.044212,0.074448,-842.831299,302.315582,584.038147
14,0,0.001351,-0.043958,0.074497,-842.855042,302.304047,584.038757
15,0,0.001546,-0.044027,0.074458,-842.851624,302.331482,584.030579
16,0,0.001523,-0.044028,0.074470,-842.852966,302.321136,584.034241
17,0,0.001518,-0.044016,0.074422,-842.859924,302.332458,584.019165
18,0,0.001538,-0.044078,0.074410,-842.847595,302.334900,584.029358
19,0,0.001455,-0.044029,0.074461,-842.849976,302.320404,584.039185
20,0,0.001523,-0.044096,0.074455,-842.846619,302.308472,584.044739
21,0,0.001469,-0.043945,0.074488,-842.860046,302.319122,584.043213
22,0,0.001515,-0.044143,0.074462,-842.843445,302.318237,584.036255
23,0,0.001611,-0.044161,0.074420,-842.841431,302.328827,584.037048
24,0,0.001377,-0.043864,0.074538,-842.857666,302.299866,584.051636
25,0,0.001466,-0.043980,0.074475,-842.860168,302.312927,584.036621
26,0,0.001526,-0.044062,0.074435,-842.853821,302.317230,584.037964
27,0,0.001398,-0.043757,0.074588,-842.868530,302.302704,584.046753
28,0,0.001455,-0.044150,0.074458,-842.831238,302.309021,584.047424
29,0,0.001433,-0.043751,0.074608,-842.866211,302.302826,584.052063
30,0,0.001553,-0.043982,0.074448,-842.854187,302.321899,584.042114
31,0,0.001506,-0.044039,0.074498,-842.845764,302.310303,584.043091
32,0,0.001495,-0.043973,0.074476,-842.863586,302.318726,584.031555
33,0,0.001407,-0.043919,0.074474,-842.858398,302.316040,584.038208
34,0,0.001493,-0.044041,0.074473,-842.849915,302.328583,584.037537
35,0,0.001546,-0.044056,0.074481,-842.846252,302.308014,584.046692
36,0,0.001481,-0.043964,0.074528,-842.856750,302.306641,584.047180
37,0,0.001478,-0.044225,0.074404,-842.828735,302.313934,584.038330
38,0,0.001428,-0.043802,0.074519,-842.865906,302.308838,584.043396
39,0,0.001489,-0.043932,0.074533,-842.859253,302.315887,584.036804
40,0,0.001385,-0.043948,0.074524,-842.856201,302.315033,584.030579
41,0,0.001419,-0.043956,0.074492,-842.856506,302.308014,584.040039
42,0,0.001437,-0.044040,0.074493,-842.846680,302.300537,584.046692
43,0,0.001480,-0.043956,0.074493,-842.850708,302.305847,584.046143
44,0,0.001472,-0.043996,0.074480,-842.856140,302.321808,584.034424
45,0,0.001363,-0.043838,0.074546,-842.864319,302.292572,584.047913
